,Species,value,sample_location_info,sample_lat_DD,sample_long_DD,sample_month
1,Anopheles quadrimaculatus,2,Mullins,27.439449,-82.548928,3
2,Anopheles quadrimaculatus,4,Buffalo Creek Ball Park,27.578355,-82.483695,3
3,Anopheles quadrimaculatus,3,Braden River Park,27.44893,-82.498664,3
4,Anopheles quadrimaculatus,1,Braden River Park,27.44893,-82.498664,4
5,Anopheles quadrimaculatus,2,Buffalo Creek Ball Park,27.578355,-82.483695,4
6,Anopheles quadrimaculatus,148,Port,27.640483,-82.552667,5
7,Anopheles quadrimaculatus,10,Fielding,27.529167,-82.588117,5
8,Anopheles quadrimaculatus,1,Carrs,27.554018,-82.545481,5
9,Anopheles quadrimaculatus,1,Braden River Park,27.44893,-82.498664,5
10,Anopheles quadrimaculatus,6,Buffalo Creek Ball Park,27.578355,-82.483695,5
11,Anopheles quadrimaculatus,2,Highland Shores,27.516317,-82.537735,5
12,Anopheles quadrimaculatus,2,Orbans,27.50312,-82.65739,5
13,Anopheles quadrimaculatus,3,Buffalo Creek Ball Park,27.578355,-82.483695,5
14,Anopheles quadrimaculatus,11,Port,27.640483,-82.552667,5
15,Anopheles quadrimaculatus,1,Fielding,27.529167,-82.588117,5
16,Anopheles quadrimaculatus,2,Highland Shores,27.516317,-82.537735,5
17,Anopheles quadrimaculatus,1,Palmetto shop,27.533281,-82.565712,5
18,Anopheles quadrimaculatus,5,Orbans,27.50312,-82.65739,5
19,Anopheles quadrimaculatus,1,Mote Ranch,27.4197,-82.47982,5
20,Anopheles quadrimaculatus,1,Tallevast,27.4266,-82.52471,5
21,Anopheles quadrimaculatus,1,Lakewood Ranch,27.419517,-82.4262,5
22,Anopheles quadrimaculatus,2,Braden Pines,27.43889,-82.43865,5
23,Anopheles quadrimaculatus,1,Myakka,27.349733,-82.157581,5
24,Anopheles quadrimaculatus,1,Keentown,27.570935,-82.137841,5
25,Anopheles quadrimaculatus,2,Palmetto Ball Park,27.531,-82.58235,5
26,Anopheles quadrimaculatus,3,Braden River Park,27.44893,-82.498664,5
27,Anopheles quadrimaculatus,2,Buffalo Creek Ball Park,27.578355,-82.483695,5
28,Anopheles quadrimaculatus,21,Chapman Rd.,27.616367,-82.5353,6
29,Anopheles quadrimaculatus,9,Port,27.640483,-82.552667,6
30,Anopheles quadrimaculatus,1,Carrs,27.554018,-82.545481,6
31,Anopheles quadrimaculatus,2,Orbans,27.50312,-82.65739,6
32,Anopheles quadrimaculatus,1,Magnolia Manor,27.481256,-82.48042,6
33,Anopheles quadrimaculatus,1,Lakewood Ranch,27.419517,-82.4262,6
34,Anopheles quadrimaculatus,4,Erie Rd.,27.574079,-82.5041,6
35,Anopheles quadrimaculatus,1,Thousand Oaks,27.564989,-82.480332,6
36,Anopheles quadrimaculatus,1,Palmetto Ball Park,27.531,-82.58235,6
37,Anopheles quadrimaculatus,1,Parrish,27.57505,-82.419667,6
38,Anopheles quadrimaculatus,31,Port,27.640483,-82.552667,6
39,Anopheles quadrimaculatus,1,Mullins,27.439449,-82.548928,6
40,Anopheles quadrimaculatus,2,Braden Pines,27.43889,-82.43865,6
41,Anopheles quadrimaculatus,3,Palmetto Ball Park,27.531,-82.58235,6
42,Anopheles quadrimaculatus,3,Parrish/Britt Rd.,27.564967,-82.424886,6
43,Anopheles quadrimaculatus,1,Fielding,27.529167,-82.588117,6
44,Anopheles quadrimaculatus,2,Orbans,27.50312,-82.65739,6
45,Anopheles quadrimaculatus,1,Palm-Aire,27.406663,-82.504054,6
46,Anopheles quadrimaculatus,7,Mote Ranch,27.4197,-82.47982,6
47,Anopheles quadrimaculatus,2,Tallevast,27.4266,-82.52471,6
48,Anopheles quadrimaculatus,4,Waterline Rd,27.4894,-82.361667,6
49,Anopheles quadrimaculatus,6,Jamie's Way,27.46357,-82.30379,6
50,Anopheles quadrimaculatus,4,Gopher Hill,27.40805,-82.260329,6
51,Anopheles quadrimaculatus,10,Sandy Baptist,27.272953,-82.116503,6
52,Anopheles quadrimaculatus,7,Lakewood Ranch HS,27.44242,-82.43578,6
53,Anopheles quadrimaculatus,1,Parrish,27.57505,-82.419667,6
54,Anopheles quadrimaculatus,1,Frog Creek,27.590917,-82.548,6
55,Anopheles quadrimaculatus,1,Parrish,27.57505,-82.419667,6
56,Anopheles quadrimaculatus,1,Frog Creek,27.590917,-82.548,6
57,Anopheles quadrimaculatus,103,Grassfarm Rd.,27.627967,-82.496833,6
58,Anopheles quadrimaculatus,21,Port,27.640483,-82.552667,6
59,Anopheles quadrimaculatus,7,Parrish,27.57505,-82.419667,6
60,Anopheles quadrimaculatus,5,Parrish,27.57484,-82.419638,6
61,Anopheles quadrimaculatus,4,French,27.603067,-82.535717,6
62,Anopheles quadrimaculatus,25,Buffalo Creek Ball Park,27.578355,-82.483695,6
63,Anopheles quadrimaculatus,3,Mote Ranch,27.4197,-82.47982,7
64,Anopheles quadrimaculatus,76,Chapman Rd.,27.616367,-82.5353,7
65,Anopheles quadrimaculatus,11,French,27.603067,-82.535717,7
66,Anopheles quadrimaculatus,3,Palmetto shop,27.533281,-82.565712,7
67,Anopheles quadrimaculatus,12,Palm-Aire,27.406663,-82.504054,7
68,Anopheles quadrimaculatus,43,Mote Ranch,27.4197,-82.47982,7
69,Anopheles quadrimaculatus,24,Rye Rd,27.484586,-82.40161,7
70,Anopheles quadrimaculatus,14,Braden Pines,27.43889,-82.43865,7
71,Anopheles quadrimaculatus,4,Upper Manatee,27.51261,-82.4319,7
72,Anopheles quadrimaculatus,20,Thousand Oaks,27.564989,-82.480332,7
73,Anopheles quadrimaculatus,15,Lakewood Ranch HS,27.44242,-82.43578,7
74,Anopheles quadrimaculatus,220,Grassfarm Rd.,27.627967,-82.496833,7
75,Anopheles quadrimaculatus,6,Waterline Rd,27.4894,-82.361667,7
76,Anopheles quadrimaculatus,94,Lakewood Ranch HS,27.44242,-82.43578,7
77,Anopheles quadrimaculatus,21,Thousand Oaks,27.564989,-82.480332,7
78,Anopheles quadrimaculatus,2,Colonial Baptist Church,27.475697,-82.613417,7
79,Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,7
80,Anopheles quadrimaculatus,146,Parrish,27.57505,-82.419667,7
81,Anopheles quadrimaculatus,25,Parrish,27.57484,-82.419638,7
82,Anopheles quadrimaculatus,22,Thousand Oaks,27.564989,-82.480332,7
83,Anopheles quadrimaculatus,8,Parrish/Britt Rd.,27.564967,-82.424886,7
84,Anopheles quadrimaculatus,8,Palmetto shop,27.533281,-82.565712,7
85,Anopheles quadrimaculatus,22,Lakewood Ranch,27.419517,-82.4262,7
86,Anopheles quadrimaculatus,33,Parrish,27.57484,-82.419638,7
87,Anopheles quadrimaculatus,47,Braden River Park,27.44893,-82.498664,7
88,Anopheles quadrimaculatus,41,Grassfarm Rd.,27.627967,-82.496833,7
89,Anopheles quadrimaculatus,12,Erie Rd.,27.574079,-82.5041,7
90,Anopheles quadrimaculatus,8,Parrish,27.57505,-82.419667,7
91,Anopheles quadrimaculatus,9,Parrish,27.57484,-82.419638,7
92,Anopheles quadrimaculatus,1,Parrish/Britt Rd.,27.564967,-82.424886,7
93,Anopheles quadrimaculatus,14,Parrish,27.57505,-82.419667,7
94,Anopheles quadrimaculatus,161,Grassfarm Rd.,27.627967,-82.496833,7
95,Anopheles quadrimaculatus,2,Fielding,27.529167,-82.588117,7
96,Anopheles quadrimaculatus,3,Highland Shores,27.516317,-82.537735,7
97,Anopheles quadrimaculatus,12,Palmetto shop,27.533281,-82.565712,7
98,Anopheles quadrimaculatus,1,Manatee HS,27.48887,-82.59214,7
99,Anopheles quadrimaculatus,2,Fulwood,27.475085,-82.551283,7
100,Anopheles quadrimaculatus,2,Mullins,27.439449,-82.548928,7
101,Anopheles quadrimaculatus,4,Palm-Aire,27.406663,-82.504054,7
102,Anopheles quadrimaculatus,22,Mote Ranch,27.4197,-82.47982,7
103,Anopheles quadrimaculatus,9,Lakewood Ranch,27.419517,-82.4262,7
104,Anopheles quadrimaculatus,12,Soccer Field,27.426485,-82.376623,7
105,Anopheles quadrimaculatus,5,Rye Rd,27.484586,-82.40161,7
106,Anopheles quadrimaculatus,18,Braden Pines,27.43889,-82.43865,7
107,Anopheles quadrimaculatus,2,Waterline Rd,27.4894,-82.361667,7
108,Anopheles quadrimaculatus,5,Gopher Hill,27.40805,-82.260329,7
109,Anopheles quadrimaculatus,8,Prichard Rd.,27.639167,-82.417083,7
110,Anopheles quadrimaculatus,7,Thousand Oaks,27.564989,-82.480332,7
111,Anopheles quadrimaculatus,61,Keentown,27.570935,-82.137841,7
112,Anopheles quadrimaculatus,3,Lloyd Park,27.489937,-82.533814,7
113,Anopheles quadrimaculatus,14,Buffalo Creek Ball Park,27.578355,-82.483695,7
114,Anopheles quadrimaculatus,51,Grassfarm Rd.,27.627967,-82.496833,7
115,Anopheles quadrimaculatus,34,Port,27.640483,-82.552667,7
116,Anopheles quadrimaculatus,1,Apple,27.41218,-82.28757,7
117,Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
118,Anopheles quadrimaculatus,6,Parrish/Britt Rd.,27.564967,-82.424886,8
119,Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
120,Anopheles quadrimaculatus,1,French,27.603067,-82.535717,8
121,Anopheles quadrimaculatus,22,Frog Creek,27.590917,-82.548,8
122,Anopheles quadrimaculatus,5,Palmetto shop,27.533281,-82.565712,8
123,Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
124,Anopheles quadrimaculatus,325,Mote Ranch,27.4197,-82.47982,8
125,Anopheles quadrimaculatus,21,Braden Pines,27.43889,-82.43865,8
126,Anopheles quadrimaculatus,89,Thousand Oaks,27.564989,-82.480332,8
127,Anopheles quadrimaculatus,9,Bunker Hill Church,27.591467,-82.19985,8
128,Anopheles quadrimaculatus,57,Keentown,27.570935,-82.137841,8
129,Anopheles quadrimaculatus,3,Lloyd Park,27.489937,-82.533814,8
130,Anopheles quadrimaculatus,24,French,27.603067,-82.535717,8
