,TickCount,DeerCount,LizardCount,RatCount,MouseCount,HostDiversity,SiteSize,SiteLocation
SiteA,51,6,3,0,17,0.21,302,North
SiteB,85,8,30,8,24,0.4,409,North
SiteC,74,5,14,13,17,0.41,398,North
SiteD,71,9,17,16,21,0.39,417,North
SiteE,49,4,4,10,23,0.26,413,North
SiteF,60,7,39,13,7,0.2,451,North
SiteG,23,7,8,17,12,0.19,87,North
SiteH,54,5,5,19,34,0.18,176,North
SiteI,70,9,45,27,9,0.23,365,South
SiteJ,85,3,46,5,14,0.45,510,South
SiteK,70,2,28,9,0,0.41,370,South
SiteL,60,6,13,9,18,0.6,345,South
SiteM,62,6,10,17,13,0.54,290,South
SiteN,76,7,29,18,17,0.7,421,South
SiteO,28,10,1,21,17,0.31,91,South
SiteP,65,8,35,9,12,0.22,278,South
